Title,Composer,Permlink,Instrumentation,Key,Piece Style,First Performance,Year/Date of Composition,Composer Time Period,Average Duration
"""Amicizia""","Stankovych, Tatiana","https://imslp.org/wiki/""Amicizia""_(Stankovych,_Tatiana)",piano 4-hands,B major,Modern,,2021,Modern,1 minute
"""Los ojos tiernos""","Esnaola, Juan Pedro","https://imslp.org/wiki/""Los_ojos_tiernos""_(Esnaola,_Juan_Pedro)",piano,F major,Romantic,,1837,Romantic,2 minutes
"""Mrs. Ramsay rose. Lily rose.""","Eisenbrey, Keith","https://imslp.org/wiki/""Mrs._Ramsay_rose._Lily_rose.""_(Eisenbrey,_Keith)",piano,,Modern,,2001,Modern,
"""My Old Dutch"" Waltz","West, Alfred H.","https://imslp.org/wiki/""My_Old_Dutch""_Waltz_(West,_Alfred_H.)",piano (arranged),E-flat major,Early 20th century,,1894,Early 20th century,
"""Tagh of Awakening""","Hakobjanyan, Anna","https://imslp.org/wiki/""Tagh_of_Awakening""_(Hakobjanyan,_Anna)",orchestra,,Modern,,2022,Modern,18 minutes
"""The Girl from the Bus Station""","Gonzaga, Thales","https://imslp.org/wiki/""The_Girl_from_the_Bus_Station""_(Gonzaga,_Thales)",orchestra,"B minor, C ♯ minor (New Edition)",Modern,,2022-24,Modern,5 minutes ; 6 minutes (New Edition)
"""Trip-O-Let"" Dance","Hamilton, Jesse J.","https://imslp.org/wiki/""Trip-O-Let""_Dance_(Hamilton,_Jesse_J.)",guitar,,Early 20th century,,,Romantic,
"""Und ich sah ..."", Op.59","Salbert, Dieter","https://imslp.org/wiki/""Und_ich_sah_..."",_Op.59_(Salbert,_Dieter)","soprano, organ",,Modern,,1969-70,Modern,25 minutes
"""Urlicht""","Mahler, Gustav","https://imslp.org/wiki/""Urlicht""_(Mahler,_Gustav)","voices, chorus, orchestra",,Romantic,,"1888-94, rev.1903",Romantic,80-90 minutes
"""of being a self in a song""","Feng, Thomas","https://imslp.org/wiki/""of_being_a_self_in_a_song""_(Feng,_Thomas)",piano,,Modern,,2016-17,Modern,2-3 minutes
"""s'kommt ein Vogel geflogen""","Ochs, Siegfried","https://imslp.org/wiki/""s'kommt_ein_Vogel_geflogen""_(Ochs,_Siegfried)",orchestra ; salon orchestra ; military bands ; piano 4-hands ; piano,,Romantic,,,Romantic,
"""un solo quarto d'ora""","Paër, Ferdinando","https://imslp.org/wiki/""un_solo_quarto_d'ora""_(Paër,_Ferdinando)","voices, orchestra",,Classical,,,Classical,
$naFU,"Bohn, James","https://imslp.org/wiki/$naFU_(Bohn,_James)","flute, clarinet, violin, piano",,Modern,,2009,Modern,12 minutes
'12' Short Pieces,"Wesley, Samuel","https://imslp.org/wiki/'12'_Short_Pieces_(Wesley,_Samuel)",organ,,Classical,,,Classical,
'4-4-8' Claves Quartet,"Shannon, William R.","https://imslp.org/wiki/'4-4-8'_Claves_Quartet_(Shannon,_William_R.)",claves (4 players),,Modern,,2004 rev. 2015,Modern,2.5 minutes
'A Grotta 'e Pozzulo,"Nutile, Emmanuele","https://imslp.org/wiki/'A_Grotta_'e_Pozzulo_(Nutile,_Emmanuele)","voice, piano",C major,Romantic,,,Romantic,4 minutes
'A Margarita,"Caccavale, Giuseppe","https://imslp.org/wiki/'A_Margarita_(Caccavale,_Giuseppe)","voice, piano",B-flat major,Romantic,,,Romantic,3 minutes
'A Napulitana,"Costa, Pasquale Mario","https://imslp.org/wiki/'A_Napulitana_(Costa,_Pasquale_Mario)","voice, piano",C major,Romantic,,,Romantic,3 minutes
'A bella d''e belle,"Di Chiara, Vincenzo","https://imslp.org/wiki/'A_bella_d''e_belle_(Di_Chiara,_Vincenzo)","voice, piano",F minor,Romantic,,,Early 20th century,3 minutes
'A buscia,"Taranto, Guido","https://imslp.org/wiki/'A_buscia_(Taranto,_Guido)","voice, piano",C major,Romantic,,,Romantic,3 minutes
'A cafettera,Albertin,https://imslp.org/wiki/'A_cafettera_(Albertin),"voice, piano",B-flat major,Romantic,,,Romantic,3 minutes
'A cafettera,"Segrè, Raffaele","https://imslp.org/wiki/'A_cafettera_(Segrè,_Raffaele)","voice, piano",C major,Romantic,,,Romantic,3 minutes
'A cafona,"Fragna, Luigi","https://imslp.org/wiki/'A_cafona_(Fragna,_Luigi)","voice, piano",D major,Romantic,,,Romantic,3 minutes
'A cagnacavalle,Albertin,https://imslp.org/wiki/'A_cagnacavalle_(Albertin),"voice, piano",A major,Romantic,,,Romantic,2
'A calamita,"Von Calged, Kosta","https://imslp.org/wiki/'A_calamita_(Von_Calged,_Kosta)","voice, piano",F major,Romantic,,,Romantic,4 minutes
'A cammisa affatata,"Valente, Vincenzo","https://imslp.org/wiki/'A_cammisa_affatata_(Valente,_Vincenzo)","voice, piano",E minor,Romantic,,,Romantic,3 minutes
'A cammurrestella,"Cangiullo, Francesco","https://imslp.org/wiki/'A_cammurrestella_(Cangiullo,_Francesco)","voice, piano",G major,Early 20th century,,,Early 20th century,3 minutes
'A canzone d''e cucchiere,"D'Arienzo, Nicola","https://imslp.org/wiki/'A_canzone_d''e_cucchiere_(D'Arienzo,_Nicola)","voice, piano",A minor,Romantic,,,Early 20th century,3 minutes
'A capera,"Liucci, Giacinto","https://imslp.org/wiki/'A_capera_(Liucci,_Giacinto)","voice, piano",F minor,Romantic,,,Romantic,3 minutes
'A cartulina,"Criscuolo, Luigi","https://imslp.org/wiki/'A_cartulina_(Criscuolo,_Luigi)","voice, piano",C major,Romantic,,,Romantic,
'A casa d''e fate,"Sava, Raffaele","https://imslp.org/wiki/'A_casa_d''e_fate_(Sava,_Raffaele)","voice, piano",E major,Romantic,,,Romantic,2 minutes
'A cchiù bella figliola!,"De Curtis, Giambattista","https://imslp.org/wiki/'A_cchiù_bella_figliola!_(De_Curtis,_Giambattista)","voice, piano",A minor,Early 20th century,,,Romantic,3 minutes
'A chianchera,"Berruti, Giuseppe","https://imslp.org/wiki/'A_chianchera_(Berruti,_Giuseppe)","voice, piano",C major,Romantic,,,Romantic,3 minutes
'A chiava masculina!...,"Musella, Roberto","https://imslp.org/wiki/'A_chiava_masculina!..._(Musella,_Roberto)","voice, piano",F minor,Romantic,,,Early 20th century,5 minutes
'A chiavetella,"Finamore, Francesco","https://imslp.org/wiki/'A_chiavetella_(Finamore,_Francesco)","voice, piano",B-flat major,Romantic,,,Romantic,3 minutes
'A chiena e 'a vacanta,"Valente, Vincenzo","https://imslp.org/wiki/'A_chiena_e_'a_vacanta_(Valente,_Vincenzo)","voice, piano",E-flat major,Romantic,,,Romantic,3 minutes
'A ciucculata,"Di Chiara, Vincenzo","https://imslp.org/wiki/'A_ciucculata_(Di_Chiara,_Vincenzo)","voice, piano",G minor,Romantic,,,Early 20th century,3 minutes
